gene	circuit_class	in_benchmark_780	celloracle_r	grammar_blind_mean_r	grammar_advantage	n_blind_methods
ARID3A	I	no	0.0381			0
ATF4	II	yes	-0.047096	0.880843	-0.927939	14
ATF5	I	no	0.047704			0
BCLAF1	I	no	0.096286			0
BPTF	I	yes	0.03943	0.895629	-0.856199	14
BRCA1	II	yes	0.023317	0.855086	-0.831769	14
BRF2	I	no	-0.111086			0
GABPA	I	yes	-0.153809	0.876379	-1.030188	14
HINFP	I	no	0.120773			0
MYC	III	yes	0.259615	0.816821	-0.557206	14
NFYB	I	no	-0.063362			0
POLR2A	I	yes	0.018904	0.52935	-0.510446	14
RAD21	II	no	0.085446			0
SIN3A	I	yes	-0.027034	0.830707	-0.857741	14
THAP1	I	yes	0.091352	0.817914	-0.726562	14
YY1	II	no	0.101398			0
ZNF24	I	no	-0.077485			0
